Linguagem,Estilo_API,Carga_Usuarios,Total Request Count,Failure Count,Median Response Time,95% Response Time,Average Response Time,Average Content Size,Requests/s
JavaScript,GRAPHQL,30,11588,0,6,15,7.372687367531704,32348.662668277528,97.24921925507296
JavaScript,GRPC,30,11657,0,2,5,2.613641778651893,22584.891738869348,97.64472891402316
Python,GRAPHQL,30,11212,0,15,38,16.73409224268071,34706.27827327863,94.09920145374304
JavaScript,GRPC,40,15492,0,2,4,2.4203648408377108,22575.080364058867,129.82162727484837
JavaScript,GRPC,50,19297,0,2,4,2.252988496048868,22885.89526869461,161.77225193172495
JavaScript,REST,40,15499,0,3,5,3.3778549673518032,32625.273372475644,130.00053357247893
JavaScript,SOAP,40,12763,0,41,120,49.36672247082876,40478.229021389954,106.94406911033592
JavaScript,SOAP,50,13774,0,80,210,91.58694048275429,41211.06947872804,115.3104472556538
Python,GRAPHQL,40,14730,0,18,47,20.220458058583738,34952.73292600136,123.61931027329224
Python,REST,40,15499,0,5,8,5.10973981166041,32782.17588231499,130.05610580965364
Python,SOAP,30,9507,0,61,140,65.07841053853667,40707.27306195435,79.78243412176815
JavaScript,GRAPHQL,50,19142,0,6,14,6.632871558455799,32195.835544875143,160.5781328116028
JavaScript,SOAP,30,10523,0,23,78,28.815206166830823,40086.07165257056,88.09719577967019
JavaScript,GRAPHQL,40,15386,0,6,15,7.175512057651161,32498.30072793449,129.1202629069209
JavaScript,REST,50,19264,0,3,5,3.3840301914377933,32501.582018272424,161.6655791050186
JavaScript,REST,30,11662,0,3,5,3.472008323517111,33053.90121762991,97.8068945400192
Python,GRPC,30,11698,0,3,5,3.066316978159797,22666.403573260388,97.89798980948008
Python,REST,50,19201,0,5,8,5.2026909317208405,32667.45565335139,161.13793022579532
Python,REST,30,11640,0,5,9,5.400099874318069,32335.97998281787,97.66606052934584
Python,SOAP,40,11170,0,96,240,109.80548077432194,40666.81656222024,93.48957934193234
Python,GRPC,50,19349,0,2,5,2.6053689704014538,22868.60349372061,162.100873327182
Python,GRAPHQL,50,17995,0,22,58,25.12448647963412,34749.540594609614,151.01017280738418
Python,GRPC,40,15488,0,3,5,2.838056134290932,22602.53802944215,129.71748744994002
Python,SOAP,50,11718,0,170,350,182.50001866493156,40255.33998975935,97.89838241271588
