modelo,instancias,usuarios,tipo,endpoint,requests,fails,median_ms,p95_ms,p99_ms,avg_ms,min_ms,max_ms,avg_size,rps
Híbrido,3,600,GET,Aggregated,10213,51,870,1900,2366,889.24,21,3276,371752.28,83.1
Híbrido,3,500,GET,Aggregated,9670,0,100.6,256.6,356.6,115.75,39,539.6,374009.33,82.3
Híbrido,3,400,GET,Aggregated,7883,0,79.3,160,323.3,89.52,37.3,401.3,373775.00,66.6
Híbrido,2,600,GET,Aggregated,10330,20,796.6,1633.3,2366.6,789.77,17,3206,373377.59,83.6
Híbrido,2,500,GET,Aggregated,9688,0,100,223.3,340,112.02,38.3,458,373409.33,81.6
Híbrido,2,400,GET,Aggregated,7858,0,79.3,140,310,87.83,38.6,360.3,374009.33,67.6
Híbrido,1,600,GET,Aggregated,10804,0,443.3,1366.6,1900,534.32,39,2778,374009.33,89.4
Híbrido,1,500,GET,Aggregated,9665,0,99,213.3,340,110.35,38.3,467,374009.33,82.4
Híbrido,1,400,GET,Aggregated,7858,0,76.6,126.6,323.3,85.00,37.3,435.6,374009.33,65.7
/?p=21,1,600,GET,/?p=21,9809,0,1000,2800,3800,1133.11,44,4619,574853,76.5
/?p=21,1,500,GET,/?p=21,9449,0,130,1300,2400,270,42,3049,574853,79.8
/?p=21,1,400,GET,/?p=21,7837,0,93,430,690,128.75,44,950,574853,64.5
/?p=21,2,600,GET,/?p=21,9698,100,940,3000,3600,1223.52,14,4546,568950.33,78.4
/?p=21,2,500,GET,/?p=21,9467,0,140,900,1400,260.27,42,2061,574853,73.7
/?p=21,2,400,GET,/?p=21,7817,0,90,180,370,100.47,41,467,574853,65.8
/?p=21,3,600,GET,/?p=21,9802,199,890,3300,4000,1146.11,9,5358,563231.31,78.5
/?p=21,3,500,GET,/?p=21,9452,0,130,1200,1700,275.69,45,2771,574853,70.2
/?p=21,3,400,GET,/?p=21,7826,0,91,240,420,105.17,42,565,574853,65.8
/?p=13,1,600,GET,/?p=13,11103,0,200,1200,1500,355.73,39,2058,324150,96
/?p=13,1,500,GET,/?p=13,9745,0,88,180,390,99.63,38,472,324150,82.4
/?p=13,1,400,GET,/?p=13,7825,0,80,130,390,89.38,37,468,324150,65.1
/?p=13,2,600,GET,/?p=13,10917,43,160,1800,2700,446.1,11,3372,322882.73,92.9
/?p=13,2,500,GET,/?p=13,9676,0,110,370,540,138.75,43,815,324150,79.4
/?p=13,2,400,GET,/?p=13,7770,0,120,460,740,153.89,47,995,324150,66.2
/?p=13,3,600,GET,/?p=13,10642,9,470,1700,2400,614.47,6,3802,323877.9,90.5
/?p=13,3,500,GET,/?p=13,9705,0,95,260,440,112.38,37,806,324150,78.8
/?p=13,3,400,GET,/?p=13,7839,0,80,310,650,109.04,38,1186,324150,67.1
/?p=28,1,600,GET,/?p=28,11388,0,110,720,910,200.08,36,1222,223025,98.1
/?p=28,1,500,GET,/?p=28,9704,0,78,220,340,90.99,35,462,223025,83
/?p=28,1,400,GET,/?p=28,7844,0,69,120,300,76.63,34,370,223025,66
/?p=28,2,600,GET,/?p=28,11296,0,120,950,1500,246.93,35,2308,223025,94.4
/?p=28,2,500,GET,/?p=28,9746,0,81,170,290,89.75,36,401,223025,81.6
/?p=28,2,400,GET,/?p=28,7875,0,70,130,290,79.1,35,383,223025,65.2
/?p=28,3,600,GET,/?p=28,11277,0,120,940,1300,243.05,36,2408,223025,97.8
/?p=28,3,500,GET,/?p=28,9741,0,83,200,320,93.66,36,438,223025,84
/?p=28,3,400,GET,/?p=28,7854,0,70,150,310,80.59,33,435,223025,68.1
